2026-03-07 00:40:35 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 00:42:03 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 00:42:22 | INFO     | qwerty          | login_success        | Login SUCCESS - Username: qwerty, IP: unknown
2026-03-07 00:42:24 | INFO     | system          | init_groq            | Groq client initialized with model: mixtral-8x7b-32768
2026-03-07 00:42:54 | ERROR    | qwerty          | error                | Groq API call - Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-03-07 00:43:11 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 00:43:19 | INFO     | qwerty          | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 315
2026-03-07 00:43:51 | INFO     | qwerty          | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 322
2026-03-07 00:48:49 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 00:51:39 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 00:52:16 | INFO     | aruuu           | signup_success       | New user registered: aruuu
2026-03-07 00:52:28 | WARNING  | aruu            | login_failed         | Login FAILED - Username: aruu, IP: unknown
2026-03-07 00:52:32 | INFO     | aruuu           | login_success        | Login SUCCESS - Username: aruuu, IP: unknown
2026-03-07 00:55:42 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 00:55:53 | INFO     | aruuu           | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 265
2026-03-07 00:56:07 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.1-70b-versatile
2026-03-07 00:56:12 | ERROR    | aruuu           | error                | Groq API call - Error: Error code: 400 - {'error': {'message': 'The model `llama-3.1-70b-versatile` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-03-07 00:59:56 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 01:01:58 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 01:02:46 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 01:10:47 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 01:15:18 | WARNING  | qwerty          | signup_failed        | Signup failed - username already exists: qwerty
2026-03-07 01:15:30 | INFO     | query           | signup_success       | New user registered: query
2026-03-07 01:15:41 | INFO     | query           | login_success        | Login SUCCESS - Username: query, IP: unknown
2026-03-07 01:16:13 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 01:16:22 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 01:16:48 | INFO     | query           | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 225
2026-03-07 01:20:55 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 01:21:18 | INFO     | admin           | login_success        | Login SUCCESS - Username: admin, IP: unknown
2026-03-07 01:21:51 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 01:22:04 | INFO     | admin           | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 209
2026-03-07 01:22:30 | INFO     | admin           | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 707
2026-03-07 01:22:44 | INFO     | admin           | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 649
2026-03-07 01:25:28 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 01:25:39 | INFO     | admin           | login_success        | Login SUCCESS - Username: admin, IP: unknown
2026-03-07 01:25:40 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 01:25:49 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 01:26:02 | INFO     | admin           | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 430
2026-03-07 01:29:19 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 01:29:29 | INFO     | admin           | login_success        | Login SUCCESS - Username: admin, IP: unknown
2026-03-07 01:29:30 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 01:29:40 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 01:29:48 | INFO     | admin           | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 366
